study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	sample_title
PRJNA299657	SAMN04211089	SRS1130547	SRX1371497	SRR2775700	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-38
PRJNA299657	SAMN04211090	SRS1130546	SRX1371498	SRR2775701	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-39
PRJNA299657	SAMN04211091	SRS1130545	SRX1371499	SRR2775702	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-40
PRJNA299657	SAMN04211092	SRS1130544	SRX1371500	SRR2775703	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-41
PRJNA299657	SAMN04211093	SRS1130543	SRX1371501	SRR2775704	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-42
PRJNA299657	SAMN04211094	SRS1130542	SRX1371502	SRR2775705	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-43
PRJNA299657	SAMN04211095	SRS1130541	SRX1371503	SRR2775706	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-44
PRJNA299657	SAMN04211096	SRS1130540	SRX1371504	SRR2775707	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-45
PRJNA299657	SAMN04211097	SRS1130539	SRX1371505	SRR2775708	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-46
PRJNA299657	SAMN04211098	SRS1130538	SRX1371506	SRR2775709	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-47
PRJNA299657	SAMN04211099	SRS1130537	SRX1371507	SRR2775710	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-48
PRJNA299657	SAMN04211100	SRS1130536	SRX1371508	SRR2775711	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-49
PRJNA299657	SAMN04211101	SRS1130535	SRX1371509	SRR2775712	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-50
PRJNA299657	SAMN04211102	SRS1130534	SRX1371510	SRR2775713	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-51
PRJNA299657	SAMN04211103	SRS1130533	SRX1371511	SRR2775714	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-52
PRJNA299657	SAMN04211104	SRS1130532	SRX1371512	SRR2775715	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-53
PRJNA299657	SAMN04211105	SRS1130531	SRX1371513	SRR2775716	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-54
PRJNA299657	SAMN04211106	SRS1130530	SRX1371514	SRR2775717	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-55
PRJNA299657	SAMN04211107	SRS1130529	SRX1371515	SRR2775718	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-56
PRJNA299657	SAMN04211108	SRS1130528	SRX1371516	SRR2775719	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-57
PRJNA299657	SAMN04211109	SRS1130526	SRX1371517	SRR2775720	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-58
PRJNA299657	SAMN04211110	SRS1130527	SRX1371518	SRR2775721	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-59
PRJNA299657	SAMN04210932	SRS1130525	SRX1371519	SRR2775722	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-60
PRJNA299657	SAMN04210933	SRS1130524	SRX1371520	SRR2775723	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-61
PRJNA299657	SAMN04210934	SRS1130523	SRX1371521	SRR2775724	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-62
PRJNA299657	SAMN04210935	SRS1130522	SRX1371522	SRR2775725	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-63
PRJNA299657	SAMN04210936	SRS1130521	SRX1371523	SRR2775726	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-64
PRJNA299657	SAMN04210937	SRS1130519	SRX1371524	SRR2775727	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-65
PRJNA299657	SAMN04210938	SRS1130520	SRX1371525	SRR2775728	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-66
PRJNA299657	SAMN04210939	SRS1130518	SRX1371526	SRR2775729	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-67
PRJNA299657	SAMN04210940	SRS1130517	SRX1371527	SRR2775730	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-68
PRJNA299657	SAMN04210941	SRS1130516	SRX1371528	SRR2775731	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-69
PRJNA299657	SAMN04210942	SRS1130514	SRX1371529	SRR2775732	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-70
PRJNA299657	SAMN04210943	SRS1130515	SRX1371530	SRR2775733	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-71
PRJNA299657	SAMN04210944	SRS1130513	SRX1371531	SRR2775734	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-72
PRJNA299657	SAMN04210945	SRS1130512	SRX1371532	SRR2775735	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-73
PRJNA299657	SAMN04210946	SRS1130511	SRX1371533	SRR2775736	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-74
PRJNA299657	SAMN04210947	SRS1130510	SRX1371534	SRR2775737	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-75
PRJNA299657	SAMN04210948	SRS1130509	SRX1371535	SRR2775738	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-76
PRJNA299657	SAMN04210949	SRS1130508	SRX1371536	SRR2775739	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-77
PRJNA299657	SAMN04210950	SRS1130507	SRX1371537	SRR2775740	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-78
PRJNA299657	SAMN04210951	SRS1130506	SRX1371538	SRR2775741	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-79
PRJNA299657	SAMN04210952	SRS1130505	SRX1371539	SRR2775742	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-80
PRJNA299657	SAMN04210953	SRS1130503	SRX1371540	SRR2775743	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-81
PRJNA299657	SAMN04210954	SRS1130504	SRX1371541	SRR2775744	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-82
PRJNA299657	SAMN04210955	SRS1130501	SRX1371542	SRR2775745	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-83
PRJNA299657	SAMN04210956	SRS1130502	SRX1371543	SRR2775746	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-84
PRJNA299657	SAMN04210957	SRS1130500	SRX1371544	SRR2775747	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-85
PRJNA299657	SAMN04210958	SRS1130499	SRX1371545	SRR2775748	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-86
PRJNA299657	SAMN04210959	SRS1130498	SRX1371546	SRR2775749	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-87
PRJNA299657	SAMN04210960	SRS1130496	SRX1371547	SRR2775750	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-88
PRJNA299657	SAMN04210961	SRS1130495	SRX1371548	SRR2775751	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-89
PRJNA299657	SAMN04210962	SRS1130497	SRX1371549	SRR2775752	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-90
PRJNA299657	SAMN04210963	SRS1130494	SRX1371550	SRR2775753	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-91
PRJNA299657	SAMN04210964	SRS1130492	SRX1371551	SRR2775754	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-92
PRJNA299657	SAMN04210965	SRS1130493	SRX1371552	SRR2775755	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-93
PRJNA299657	SAMN04210966	SRS1130491	SRX1371553	SRR2775756	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-94
PRJNA299657	SAMN04210967	SRS1130490	SRX1371554	SRR2775757	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-95
PRJNA299657	SAMN04210968	SRS1130489	SRX1371555	SRR2775758	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-96
PRJNA299657	SAMN04210969	SRS1130487	SRX1371556	SRR2775759	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-1
PRJNA299657	SAMN04210970	SRS1130488	SRX1371557	SRR2775760	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-2
PRJNA299657	SAMN04210971	SRS1130485	SRX1371558	SRR2775761	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-3
PRJNA299657	SAMN04210972	SRS1130486	SRX1371559	SRR2775762	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-4
PRJNA299657	SAMN04210973	SRS1130484	SRX1371560	SRR2775763	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-5
PRJNA299657	SAMN04210974	SRS1130482	SRX1371561	SRR2775764	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-6
PRJNA299657	SAMN04210975	SRS1130481	SRX1371562	SRR2775765	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-7
PRJNA299657	SAMN04210976	SRS1130483	SRX1371563	SRR2775766	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-8
PRJNA299657	SAMN04210977	SRS1130479	SRX1371564	SRR2775767	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-9
PRJNA299657	SAMN04210978	SRS1130478	SRX1371565	SRR2775768	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-10
PRJNA299657	SAMN04210979	SRS1130477	SRX1371566	SRR2775769	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-11
PRJNA299657	SAMN04210980	SRS1130474	SRX1371567	SRR2775770	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-12
PRJNA299657	SAMN04210981	SRS1130475	SRX1371568	SRR2775771	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-13
PRJNA299657	SAMN04210982	SRS1130476	SRX1371569	SRR2775772	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-14
PRJNA299657	SAMN04210983	SRS1130473	SRX1371570	SRR2775773	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-15
PRJNA299657	SAMN04210984	SRS1130471	SRX1371571	SRR2775774	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-16
PRJNA299657	SAMN04210985	SRS1130472	SRX1371572	SRR2775775	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-17
PRJNA299657	SAMN04210986	SRS1130470	SRX1371573	SRR2775776	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-18
PRJNA299657	SAMN04210987	SRS1130469	SRX1371574	SRR2775777	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-19
PRJNA299657	SAMN04210988	SRS1130467	SRX1371575	SRR2775778	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-20
PRJNA299657	SAMN04210989	SRS1130468	SRX1371576	SRR2775779	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-21
PRJNA299657	SAMN04210990	SRS1130465	SRX1371577	SRR2775780	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-22
PRJNA299657	SAMN04210991	SRS1130466	SRX1371578	SRR2775781	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-23
PRJNA299657	SAMN04211027	SRS1130464	SRX1371579	SRR2775782	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-24
PRJNA299657	SAMN04211022	SRS1130463	SRX1371580	SRR2775783	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-25
PRJNA299657	SAMN04211023	SRS1130462	SRX1371581	SRR2775784	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-26
PRJNA299657	SAMN04211024	SRS1130461	SRX1371582	SRR2775785	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-27
PRJNA299657	SAMN04211025	SRS1130459	SRX1371583	SRR2775786	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-28
PRJNA299657	SAMN04211026	SRS1130460	SRX1371584	SRR2775787	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-29
PRJNA299657	SAMN04211028	SRS1130458	SRX1371585	SRR2775788	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-30
PRJNA299657	SAMN04211029	SRS1130455	SRX1371586	SRR2775789	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-31
PRJNA299657	SAMN04211030	SRS1130454	SRX1371587	SRR2775790	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-32
PRJNA299657	SAMN04211031	SRS1130452	SRX1371588	SRR2775791	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-33
PRJNA299657	SAMN04211032	SRS1130453	SRX1371589	SRR2775792	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-34
PRJNA299657	SAMN04211033	SRS1130449	SRX1371590	SRR2775793	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-35
PRJNA299657	SAMN04211034	SRS1130450	SRX1371591	SRR2775794	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-36
PRJNA299657	SAMN04211035	SRS1130451	SRX1371592	SRR2775795	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-37
PRJNA299657	SAMN04211036	SRS1130448	SRX1371593	SRR2775796	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-38
PRJNA299657	SAMN04211037	SRS1130447	SRX1371594	SRR2775797	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-39
PRJNA299657	SAMN04211038	SRS1130445	SRX1371595	SRR2775798	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-40
PRJNA299657	SAMN04211039	SRS1130446	SRX1371596	SRR2775799	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-41
PRJNA299657	SAMN04211040	SRS1130444	SRX1371597	SRR2775800	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-42
PRJNA299657	SAMN04211041	SRS1130443	SRX1371598	SRR2775801	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-43
PRJNA299657	SAMN04211042	SRS1130442	SRX1371599	SRR2775802	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-44
PRJNA299657	SAMN04211043	SRS1130441	SRX1371600	SRR2775803	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-45
PRJNA299657	SAMN04211044	SRS1130440	SRX1371601	SRR2775804	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-46
PRJNA299657	SAMN04211045	SRS1130439	SRX1371602	SRR2775805	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-47
PRJNA299657	SAMN04211046	SRS1130438	SRX1371603	SRR2775806	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-48
PRJNA299657	SAMN04211047	SRS1130437	SRX1371604	SRR2775807	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-49
PRJNA299657	SAMN04211048	SRS1130436	SRX1371605	SRR2775808	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-50
PRJNA299657	SAMN04211049	SRS1130435	SRX1371606	SRR2775809	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-51
PRJNA299657	SAMN04211050	SRS1130434	SRX1371607	SRR2775810	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-52
PRJNA299657	SAMN04211051	SRS1130433	SRX1371608	SRR2775811	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-53
PRJNA299657	SAMN04210992	SRS1130432	SRX1371609	SRR2775812	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-54
PRJNA299657	SAMN04210993	SRS1130431	SRX1371610	SRR2775813	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-55
PRJNA299657	SAMN04210994	SRS1130430	SRX1371611	SRR2775814	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-56
PRJNA299657	SAMN04210995	SRS1130429	SRX1371612	SRR2775815	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-57
PRJNA299657	SAMN04210996	SRS1130428	SRX1371613	SRR2775816	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-58
PRJNA299657	SAMN04210997	SRS1130427	SRX1371614	SRR2775817	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-59
PRJNA299657	SAMN04210998	SRS1130426	SRX1371615	SRR2775818	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-60
PRJNA299657	SAMN04210999	SRS1130425	SRX1371616	SRR2775819	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-61
PRJNA299657	SAMN04211000	SRS1130424	SRX1371617	SRR2775820	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-62
PRJNA299657	SAMN04211001	SRS1130423	SRX1371618	SRR2775821	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-63
PRJNA299657	SAMN04211002	SRS1130422	SRX1371619	SRR2775822	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-64
PRJNA299657	SAMN04211003	SRS1130421	SRX1371620	SRR2775823	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-65
PRJNA299657	SAMN04211004	SRS1130420	SRX1371621	SRR2775824	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-66
PRJNA299657	SAMN04211005	SRS1130418	SRX1371623	SRR2775825	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-67
PRJNA299657	SAMN04211006	SRS1130419	SRX1371624	SRR2775827	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-68
PRJNA299657	SAMN04211007	SRS1130417	SRX1371626	SRR2775828	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-69
PRJNA299657	SAMN04211008	SRS1130416	SRX1371627	SRR2775830	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-70
PRJNA299657	SAMN04211009	SRS1130415	SRX1371629	SRR2775831	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-71
PRJNA299657	SAMN04211010	SRS1130414	SRX1371630	SRR2775833	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-72
PRJNA299657	SAMN04211011	SRS1130413	SRX1371632	SRR2775834	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-73
PRJNA299657	SAMN04211012	SRS1130412	SRX1371633	SRR2775836	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-74
PRJNA299657	SAMN04211013	SRS1130411	SRX1371635	SRR2775837	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-75
PRJNA299657	SAMN04211014	SRS1130410	SRX1371636	SRR2775839	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-76
PRJNA299657	SAMN04211015	SRS1130409	SRX1371638	SRR2775840	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-77
PRJNA299657	SAMN04211016	SRS1130408	SRX1371639	SRR2775842	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-78
PRJNA299657	SAMN04211017	SRS1130407	SRX1371641	SRR2775843	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-79
PRJNA299657	SAMN04211018	SRS1130406	SRX1371642	SRR2775845	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-80
PRJNA299657	SAMN04211019	SRS1130405	SRX1371644	SRR2775846	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-81
PRJNA299657	SAMN04211020	SRS1130404	SRX1371645	SRR2775848	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-82
PRJNA299657	SAMN04211021	SRS1130403	SRX1371647	SRR2775849	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-83
PRJNA299657	SAMN04211190	SRS1130402	SRX1371648	SRR2775851	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-84
PRJNA299657	SAMN04211191	SRS1130401	SRX1371650	SRR2775852	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-85
PRJNA299657	SAMN04211192	SRS1130400	SRX1371651	SRR2775854	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-86
PRJNA299657	SAMN04211193	SRS1130398	SRX1371653	SRR2775855	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-87
