peak	class_	weight	Chr	Start	End	Annotation	Distance to TSS	Gene Name	in_cell_type
spleen_uPk_1213	0	0.011279166598333987	chr1	39614282	39615187	Intergenic	36448.0	Creg2	Granulocyte
spleen_uPk_79549	0	0.01127737466741316	chr3	107783242	107783733	Intergenic	-23018.0	Csf1	Granulocyte
spleen_uPk_39251	0	0.011271600032340845	chr14	61861287	61861964	Intergenic	-179252.0	Dleu2	Granulocyte
spleen_uPk_115806	0	0.011209062689920203	chr8	94532706	94533498	promoter-TSS (NM_153507)	74.0	Cpne2	Granulocyte
spleen_uPk_37893	0	0.011179278139193635	chr14	32165306	32166160	promoter-TSS (NM_019744)	-56.0	Ncoa4	Granulocyte
spleen_uPk_112721	0	0.011124250245935548	chr8	18768032	18768471	intron (NM_173189, intron 12 of 13)	-26689.0	Angpt2	Granulocyte
spleen_uPk_21184	0	0.011116518202435671	chr11	80779499	80780346	5' UTR (NM_177390, exon 1 of 22)	103.0	Myo1d	Granulocyte
spleen_uPk_79544	0	0.011108624884583378	chr3	107759692	107760830	5' UTR (NM_007778, exon 1 of 9)	208.0	Csf1	Granulocyte
spleen_uPk_14632	0	0.011101648214661565	chr10	95766431	95767151	Intergenic	-173872.0	Eea1	Granulocyte
spleen_uPk_96884	0	0.011073674537832878	chr5	149274452	149275181	intron (NM_001308462, intron 2 of 3)	9812.0	Alox5ap	Granulocyte
spleen_uPk_26651	0	0.011028366621361892	chr12	54162678	54163147	Intergenic	40962.0	Egln3	Granulocyte
spleen_uPk_44906	0	0.01094718192248601	chr15	78325591	78326610	intron (NM_007780, intron 1 of 13)	110.0	Csf2rb	Granulocyte
spleen_uPk_95024	0	0.01090866413512009	chr5	123713574	123714154	intron (NM_027494, intron 5 of 13)	7180.0	Zcchc8	Granulocyte
spleen_uPk_96881	0	0.010898135632797812	chr5	149264795	149265844	intron (NM_001308462, intron 1 of 3)	315.0	Alox5ap	Granulocyte
spleen_uPk_72945	0	0.010825165635599376	chr2	152736024	152736730	exon (NM_010495, exon 1 of 2)	126.0	Id1	Granulocyte
spleen_uPk_74744	0	0.010808393466209397	chr2	173072686	173073417	Intergenic	46474.0	Ctcfl	Granulocyte
spleen_uPk_58760	0	0.010796260754118086	chr18	37998403	37999155	5' UTR (NM_001205336, exon 1 of 33)	190.0	Arap3	Granulocyte
spleen_uPk_58761	0	0.010794197639121565	chr18	37999353	37999757	promoter-TSS (NM_001205336)	-586.0	Arap3	Granulocyte
spleen_uPk_101035	0	0.010781920142612087	chr6	91488673	91489274	TTS (NM_009531)	15222.0	Tmem43	Granulocyte
spleen_uPk_95077	0	0.010769668070440622	chr5	124051705	124052560	Intergenic	-19872.0	Vps37b	Granulocyte
spleen_uPk_33580	0	0.010752369568564287	chr13	55021114	55021674	promoter-TSS (NM_001206391)	-9.0	Hk3	Granulocyte
spleen_uPk_29110	0	0.010733511962286417	chr12	102319689	102320436	intron (NM_177620, intron 2 of 9)	36421.0	Rin3	Granulocyte
spleen_uPk_28251	0	0.010715554509631704	chr12	85472177	85472410	Intergenic	-1608.0	Fos	Granulocyte
spleen_uPk_27469	0	0.010704255387028612	chr12	76318383	76319604	intron (NM_138745, intron 27 of 27)	-5898.0	Akap5	Granulocyte
spleen_uPk_102233	0	0.010702705051096408	chr6	116337625	116338503	promoter-TSS (NM_027920)	42.0	March8	Granulocyte
spleen_uPk_124803	0	0.010695102502877415	chr9	123942062	123942486	Intergenic	26418.0	Ccr1	Granulocyte
spleen_uPk_24974	0	0.010692599997913374	chr12	8521242	8522004	Intergenic	17943.0	Slc7a15	Granulocyte
spleen_uPk_60257	0	0.010680164889800335	chr18	68159420	68160504	intron (NM_172631, intron 3 of 5)	101011.0	Mir7219	Granulocyte
spleen_uPk_119585	0	0.010676817107915737	chr9	42127953	42128403	Intergenic	-3889.0	Sorl1	Granulocyte
spleen_uPk_108751	0	0.010664546430526122	chr7	97210922	97211666	intron (NM_001162477, intron 1 of 9)	114670.0	Usp35	Granulocyte
spleen_uPk_86722	0	0.010656721014156654	chr4	125990765	125991364	Intergenic	-33595.0	Csf3r	Granulocyte
spleen_uPk_22121	0	0.010580439674710044	chr11	95804997	95806048	Intergenic	-18978.0	Phospho1	Granulocyte
spleen_uPk_23815	0	0.010561229771879578	chr11	114917044	114917475	Intergenic	17127.0	Cd300lb	Granulocyte
spleen_uPk_89994	0	0.010559494299599006	chr5	23597889	23598399	intron (NM_009274, intron 1 of 14)	18427.0	Srpk2	Granulocyte
spleen_uPk_90447	0	0.01052209297320161	chr5	32122043	32122763	Intergenic	-14069.0	Fosl2	Granulocyte
spleen_uPk_119605	0	0.01049749731144449	chr9	42306317	42306736	Intergenic	-42226.0	Sc5d	Granulocyte
spleen_uPk_34477	0	0.010487481415179361	chr13	80949064	80949748	TTS (NR_103550)	9003.0	5430425K12Rik	Granulocyte
spleen_uPk_109168	0	0.010463954737016626	chr7	101029398	101029795	Intergenic	-17543.0	P2ry2	Granulocyte
spleen_uPk_5960	0	0.010458308237432818	chr1	150167203	150167516	Intergenic	-2411.0	Ptgs2os2	Granulocyte
spleen_uPk_30245	0	0.010456689702389187	chr12	115622922	115623823	Intergenic	72422.0	Mir6388	Granulocyte
spleen_uPk_123696	0	0.010440638941547953	chr9	110448890	110449442	intron (NM_177771, intron 3 of 9)	27528.0	Klhl18	Granulocyte
spleen_uPk_106022	0	0.010414279916731115	chr7	31031742	31032182	TTS (NM_001111073)	8355.0	Mir7050	Granulocyte
spleen_uPk_86021	0	0.010407843966351958	chr4	115056586	115057572	promoter-TSS (NM_001287388)	653.0	Tal1	Granulocyte
spleen_uPk_44465	0	0.01038725837596037	chr15	73487111	73487984	Intergenic	-25013.0	Dennd3	Granulocyte
spleen_uPk_30193	0	0.010372275283327952	chr12	115158159	115159063	Intergenic	537183.0	Mir6388	Granulocyte
spleen_uPk_23594	0	0.010367720404460386	chr11	111065712	111066744	promoter-TSS (NM_008425)	64.0	Kcnj2	Granulocyte
spleen_uPk_69391	0	0.010360494660863915	chr2	75637927	75638497	Intergenic	-21047.0	Hnrnpa3	Granulocyte
spleen_uPk_66774	0	0.010353856111161576	chr2	29194184	29195241	TTS (NM_133500)	53387.0	Ntng2	Granulocyte
spleen_uPk_74959	0	0.010304084520661174	chr2	178416409	178416878	5' UTR (NM_001081289, exon 2 of 4)	2109.0	Fam217b	Granulocyte
spleen_uPk_102693	0	0.010303621188124426	chr6	122763873	122765157	Intergenic	-21770.0	Slc2a3	Granulocyte
spleen_uPk_102694	0	0.010301300100965943	chr6	122766607	122766925	Intergenic	-24021.0	Slc2a3	Granulocyte
spleen_uPk_21082	0	0.01028873314719061	chr11	79660289	79660986	intron (NM_175543, intron 3 of 14)	14449.0	Rab11fip4os2	Granulocyte
spleen_uPk_114273	0	0.010275936827885685	chr8	69012532	69013058	Intergenic	-75941.0	Atp6v1b2	Granulocyte
spleen_uPk_39748	0	0.01026803565694017	chr14	67932999	67933996	promoter-TSS (NM_177780)	75.0	Dock5	Granulocyte
spleen_uPk_12458	0	0.010254638065762356	chr10	67025507	67026255	intron (NR_110511, intron 2 of 6)	20806.0	Gm31763	Granulocyte
spleen_uPk_85013	0	0.010252601528242823	chr4	89485946	89486336	intron (NR_132431, intron 7 of 9)	-175109.0	Cdkn2b	Granulocyte
spleen_uPk_36855	0	0.010239492071014386	chr14	14087845	14088837	intron (NM_139227, intron 5 of 11)	32563.0	Psmd6	Granulocyte
spleen_uPk_29935	0	0.010209483043815673	chr12	112619356	112620346	promoter-TSS (NM_007421)	-196.0	Adssl1	Granulocyte
spleen_uPk_53094	0	0.01019496203335059	chr17	26535211	26535826	Intergenic	-25994.0	Ergic1	Granulocyte
spleen_uPk_121860	0	0.01019174725800513	chr9	73089245	73090048	intron (NM_001301230, intron 6 of 6)	-12752.0	Khdc3	Granulocyte
spleen_uPk_88756	0	0.010184497354014594	chr4	149155685	149156210	intron (NM_001081274, intron 8 of 12)	10760.0	Pgd	Granulocyte
spleen_uPk_16572	0	0.010177693472626068	chr11	4232681	4233069	Intergenic	-3910.0	Osm	Granulocyte
spleen_uPk_46954	0	0.010150086716757913	chr15	102243448	102243807	intron (NM_011244, intron 3 of 9)	2873.0	Rarg	Granulocyte
spleen_uPk_92593	0	0.010135801575188097	chr5	90689668	90690178	Intergenic	-49396.0	Rassf6	Granulocyte
spleen_uPk_8433	0	0.010119180309873103	chr1	181866350	181867048	Intergenic	-24298.0	Lbr	Granulocyte
spleen_uPk_32638	0	0.010087174421077956	chr13	43295253	43296261	intron (NM_001033399, intron 1 of 1)	8415.0	Gfod1	Granulocyte
spleen_uPk_72213	0	0.01006849189882852	chr2	132695635	132696040	intron (NM_028637, intron 2 of 2)	5554.0	1110034G24Rik	Granulocyte
spleen_uPk_96015	0	0.010058343548594908	chr5	139364192	139365074	intron (NM_028469, intron 2 of 4)	5112.0	Mir339	Granulocyte
spleen_uPk_120489	0	0.01005045231962363	chr9	56108184	56108573	intron (NM_011193, intron 1 of 14)	18402.0	Pstpip1	Granulocyte
spleen_uPk_1503	0	0.01004366940132331	chr1	45925250	45925890	promoter-TSS (NM_016917)	24.0	Slc40a1	Granulocyte
spleen_uPk_21004	0	0.010039243775755971	chr11	79086793	79087206	intron (NM_013571, intron 1 of 17)	59355.0	Ksr1	Granulocyte
spleen_uPk_21185	0	0.010033857881863027	chr11	80785664	80786280	Intergenic	-5947.0	Myo1d	Granulocyte
spleen_uPk_13347	0	0.009993245309750877	chr10	80071025	80071507	intron (NM_183426, intron 5 of 31)	17247.0	Gpx4	Granulocyte
spleen_uPk_116993	0	0.0099923821447945	chr8	119424840	119425153	Intergenic	-12166.0	Osgin1	Granulocyte
spleen_uPk_67715	0	0.00999144699216836	chr2	38483169	38483909	Intergenic	-28158.0	Nek6	Granulocyte
spleen_uPk_60119	0	0.009978691945341657	chr18	66467706	66468420	Intergenic	9459.0	Pmaip1	Granulocyte
spleen_uPk_100827	0	0.009972066960465169	chr6	88834980	88835344	TTS (NM_030251)	6773.0	Abtb1	Granulocyte
spleen_uPk_69302	0	0.009963847545226565	chr2	73462358	73462677	intron (NM_153138, intron 1 of 7)	-8628.0	Wipf1	Granulocyte
spleen_uPk_26587	0	0.00996037621907634	chr12	52314803	52315212	Intergenic	165602.0	Gm35135	Granulocyte
spleen_uPk_24585	0	0.009934685659213315	chr11	120353477	120354278	Intergenic	5199.0	0610009L18Rik	Granulocyte
spleen_uPk_9353	0	0.009921094855285934	chr10	5161276	5161909	intron (NM_001347732, intron 98 of 145)	33115.0	Syne1	Granulocyte
spleen_uPk_63426	0	0.009900667614006048	chr19	34270143	34270741	Intergenic	-15069.0	Acta2	Granulocyte
spleen_uPk_124811	0	0.009879460270075432	chr9	123968128	123968913	5' UTR (NM_009912, exon 1 of 2)	172.0	Ccr1	Granulocyte
spleen_uPk_5845	0	0.009868931209839237	chr1	143918204	143918718	Intergenic	85688.0	Rgs2	Granulocyte
spleen_uPk_72947	0	0.009856444269180057	chr2	152741470	152742039	Intergenic	5503.0	Id1	Granulocyte
spleen_uPk_47802	0	0.00985537278098957	chr16	16073165	16073703	intron (NM_146068, intron 5 of 19)	73417.0	Spidr	Granulocyte
spleen_uPk_121215	0	0.009854433243975246	chr9	64702793	64703332	intron (NM_001134399, intron 23 of 24)	34694.0	Rab11a	Granulocyte
spleen_uPk_14636	0	0.009847033352094107	chr10	95779664	95780253	Intergenic	-160705.0	Eea1	Granulocyte
spleen_uPk_46170	0	0.00983980639488051	chr15	94565570	94566269	intron (NM_029926, intron 10 of 11)	22259.0	Irak4	Granulocyte
spleen_uPk_32441	0	0.009832056946495183	chr13	40971251	40971634	Intergenic	-29568.0	Pak1ip1	Granulocyte
spleen_uPk_115462	0	0.009815186822955705	chr8	86887897	86888454	Intergenic	-2917.0	N4bp1	Granulocyte
spleen_uPk_104255	0	0.009792374632941712	chr6	145275743	145276847	Intergenic	25743.0	Gm15706	Granulocyte
spleen_uPk_96060	0	0.009778831006512397	chr5	139794911	139795481	intron (NM_010757, intron 1 of 2)	3660.0	Mafk	Granulocyte
spleen_uPk_120636	0	0.009750006595449274	chr9	57646629	57647066	intron (NM_001304761, intron 2 of 14)	-1194.0	Csk	Granulocyte
spleen_uPk_21300	0	0.009748568424679261	chr11	83083145	83083455	Intergenic	18188.0	Slfn2	Granulocyte
spleen_uPk_107431	0	0.009738046809262914	chr7	68667699	68668667	Intergenic	49727.0	Gm5334	Granulocyte
spleen_uPk_54259	0	0.009723413628697322	chr17	35274247	35275139	Intergenic	11570.0	H2-L	Granulocyte
spleen_uPk_112742	0	0.009718489764048212	chr8	18970151	18970530	Intergenic	7776.0	Defb40	Granulocyte
spleen_uPk_116909	0	0.009647806843849438	chr8	117340171	117340642	intron (NM_001163262, intron 1 of 20)	-8764.0	Cmip	Granulocyte
spleen_uPk_38046	0	0.009643824062199201	chr14	36316469	36317207	Intergenic	221873.0	4930474N05Rik	Granulocyte
spleen_uPk_113692	0	0.009616865565939374	chr8	46326596	46327095	Intergenic	-32174.0	Helt	Granulocyte
spleen_uPk_63770	0	0.009585521107286662	chr19	40639685	40640333	intron (NM_001304721, intron 1 of 9)	-19761.0	Entpd1	Granulocyte
spleen_uPk_92840	0	0.00958493054977134	chr5	96911478	96912463	Intergenic	-9302.0	Gm8013	Granulocyte
spleen_uPk_13361	0	0.009567830828257391	chr10	80147910	80148429	promoter-TSS (NM_001305798)	-103.0	Midn	Granulocyte
spleen_uPk_105444	0	0.009566447343692623	chr7	25006491	25007003	promoter-TSS (NM_001290469)	-810.0	Atp1a3	Granulocyte
spleen_uPk_61110	0	0.00956299731958393	chr18	82462030	82462605	Intergenic	-12806.0	Mbp	Granulocyte
spleen_uPk_46789	0	0.00954628785433602	chr15	100738367	100738721	Intergenic	-5807.0	I730030J21Rik	Granulocyte
spleen_uPk_108750	0	0.009512460890322327	chr7	97210031	97210358	intron (NM_001162477, intron 1 of 9)	115770.0	Usp35	Granulocyte
spleen_uPk_104956	0	0.009501383305714468	chr7	16244093	16244472	promoter-TSS (NM_176912)	-128.0	C5ar2	Granulocyte
spleen_uPk_88494	0	0.009487039321396494	chr4	143112437	143112897	intron (NM_001081355, intron 8 of 9)	23495.0	Mir7021	Granulocyte
spleen_uPk_100980	0	0.009463679485206586	chr6	90754219	90754506	intron (NM_001134384, intron 1 of 13)	-37833.0	Iqsec1	Granulocyte
spleen_uPk_5955	0	0.009460116306778484	chr1	150099553	150100360	promoter-TSS (NM_011198)	-75.0	Ptgs2	Granulocyte
spleen_uPk_10890	0	0.009454489180185393	chr10	37192738	37193063	Intergenic	-53974.0	Marcks	Granulocyte
spleen_uPk_32407	0	0.009454195377704092	chr13	40320898	40321509	Intergenic	-33192.0	Ofcc1	Granulocyte
spleen_uPk_49749	0	0.009449729468975064	chr16	45030136	45030480	Intergenic	-63745.0	Ccdc80	Granulocyte
spleen_uPk_5861	0	0.009424728419621097	chr1	144006492	144006924	Intergenic	-2559.0	Rgs2	Granulocyte
spleen_uPk_53453	0	0.00942375066998495	chr17	29113935	29114275	Intergenic	20336.0	Cdkn1a	Granulocyte
spleen_uPk_58869	0	0.009418125173017064	chr18	39020474	39021480	intron (NM_175164, intron 1 of 22)	27832.0	Arhgap26	Granulocyte
spleen_uPk_100925	0	0.00941454520113932	chr6	90320416	90320741	intron (NM_027928, intron 1 of 2)	4607.0	Chst13	Granulocyte
spleen_uPk_55435	0	0.009390437408955484	chr17	56133717	56135033	promoter-TSS (NM_013662)	-523.0	Sema6b	Granulocyte
spleen_uPk_79002	0	0.009387099392689831	chr3	101057625	101058795	intron (NM_011197, intron 5 of 8)	-28715.0	Cd101	Granulocyte
spleen_uPk_120934	0	0.009373525822957106	chr9	61424297	61424651	Intergenic	52108.0	Tle3	Granulocyte
spleen_uPk_115085	0	0.009372933271848013	chr8	82383244	82383746	intron (NM_001254747, intron 1 of 7)	19091.0	Il15	Granulocyte
spleen_uPk_63249	0	0.009366697229608766	chr19	32276829	32277148	intron (NM_001168525, intron 2 of 9)	-65975.0	Sgms1	Granulocyte
spleen_uPk_71586	0	0.00935798671248662	chr2	126618442	126618850	promoter-TSS (NM_008230)	32.0	Hdc	Granulocyte
spleen_uPk_95841	0	0.009349841913489528	chr5	137263841	137264407	Intergenic	-24130.0	Ache	Granulocyte
spleen_uPk_113887	0	0.009340041211488962	chr8	53604986	53605283	intron (NM_146208, intron 6 of 9)	33931.0	Neil3	Granulocyte
spleen_uPk_20424	0	0.009333740197886535	chr11	73024358	73024935	intron (NM_018883, intron 1 of 15)	5638.0	Camkk1	Granulocyte
spleen_uPk_113196	0	0.00933320763678127	chr8	33443352	33443958	Intergenic	-40656.0	Hmgb1-rs17	Granulocyte
spleen_uPk_124802	0	0.009320134158637085	chr9	123941323	123941759	Intergenic	27151.0	Ccr1	Granulocyte
spleen_uPk_87591	0	0.009305408918610881	chr4	134547999	134548528	intron (NM_029100, intron 2 of 11)	3903.0	Selenon	Granulocyte
spleen_uPk_11415	0	0.009299035182047118	chr10	43666663	43668462	Intergenic	74135.0	F830002L21Rik	Granulocyte
spleen_uPk_53086	0	0.00928909331374683	chr17	26502908	26503475	Intergenic	5281.0	Dusp1	Granulocyte
spleen_uPk_47046	0	0.009287128906653582	chr15	103255109	103255589	promoter-TSS (NM_008685)	90.0	Nfe2	Granulocyte
spleen_uPk_46615	0	0.009280906547283384	chr15	99416368	99416884	Intergenic	23407.0	Tmbim6	Granulocyte
spleen_uPk_32491	0	0.009275887515350939	chr13	41467131	41467526	intron (NM_001111324, intron 1 of 7)	20032.0	Nedd9	Granulocyte
spleen_uPk_71272	0	0.009273156154924895	chr2	120577930	120578685	intron (NM_009222, intron 1 of 7)	10636.0	Snap23	Granulocyte
spleen_uPk_42069	0	0.009270933700732663	chr15	11715909	11716768	Intergenic	189336.0	Npr3	Granulocyte
spleen_uPk_10889	0	0.00927020365470948	chr10	37191952	37192610	Intergenic	-53355.0	Marcks	Granulocyte
spleen_uPk_36983	0	0.009267320380087865	chr14	16242865	16244205	intron (NM_027695, intron 1 of 2)	-5779.0	Ngly1	Granulocyte
spleen_uPk_26656	0	0.009265942063554532	chr12	54191881	54192396	intron (NM_028133, intron 1 of 4)	11736.0	Egln3	Granulocyte
spleen_uPk_74958	0	0.009259831041995048	chr2	178414137	178415119	promoter-TSS (NM_001081289)	94.0	Fam217b	Granulocyte
spleen_uPk_57847	0	0.009259002354472183	chr18	12153995	12154700	intron (NM_024182, intron 12 of 12)	-14383.0	3110002H16Rik	Granulocyte
spleen_uPk_88838	0	0.009252319399416094	chr4	149790619	149791136	Intergenic	-16610.0	Slc25a33	Granulocyte
spleen_uPk_79106	0	0.00924462586604787	chr3	101948347	101949044	Intergenic	-24242.0	Slc22a15	Granulocyte
spleen_uPk_45081	0	0.009242166275539582	chr15	79440346	79440615	intron (NM_013767, intron 1 of 10)	1338.0	Csnk1e	Granulocyte
spleen_uPk_74602	0	0.00923912921453185	chr2	170195553	170196031	Intergenic	-53117.0	Zfp217	Granulocyte
spleen_uPk_51595	0	0.009238171345919272	chr16	95955691	95956270	Intergenic	-26903.0	1600002D24Rik	Granulocyte
spleen_uPk_61443	0	0.009236387202136079	chr19	3718914	3719910	Intergenic	11079.0	1810055G02Rik	Granulocyte
spleen_uPk_118194	0	0.009235227263495951	chr9	7780819	7781018	intron (NM_133739, intron 2 of 4)	-3472.0	Mir5618	Granulocyte
spleen_uPk_116419	0	0.009227639389596937	chr8	109570777	109571145	intron (NM_175646, intron 2 of 3)	5069.0	Txnl4b	Granulocyte
